wavelength_um,intensity_MW_sr-1_m-2_nm-1
1.345345345345345223e+00,1.263481431084797904e+07
1.351351351351351315e+00,1.241168841725306027e+07
1.357357357357357408e+00,1.219346624575195834e+07
1.363363363363363279e+00,1.198001903777438775e+07
1.369369369369369371e+00,1.177122196187525429e+07
1.375375375375375242e+00,1.156695397744123824e+07
1.381381381381381335e+00,1.136709770369565114e+07
1.387387387387387205e+00,1.117153929377397709e+07
1.393393393393393298e+00,1.098016831365266815e+07
1.399399399399399169e+00,1.079287762572451122e+07
1.405405405405405261e+00,1.060956327682302147e+07
1.411411411411411576e+00,1.043012439050797001e+07
1.417417417417417447e+00,1.025446306343247369e+07
1.423423423423423539e+00,1.008248426562058926e+07
1.429429429429429410e+00,9.914095744492199272e+06
1.435435435435435503e+00,9.749207932479221374e+06
1.441441441441441373e+00,9.587733858084660023e+06
1.447447447447447466e+00,9.429589060242298990e+06
1.453453453453453337e+00,9.274691505841717124e+06
1.459459459459459429e+00,9.122961510288963094e+06
1.465465465465465300e+00,8.974321660979438573e+06
1.471471471471471393e+00,8.828696743564665318e+06
1.477477477477477485e+00,8.686013670900236815e+06
1.483483483483483356e+00,8.546201414566904306e+06
1.489489489489489449e+00,8.409190938861781731e+06
1.495495495495495319e+00,8.274915137161039747e+06
1.501501501501501412e+00,8.143308770559730940e+06
1.507507507507507505e+00,8.014308408698705025e+06
1.513513513513513598e+00,7.887852372692165896e+06
1.519519519519519468e+00,7.763880680073531345e+06
1.525525525525525561e+00,7.642334991680395789e+06
1.531531531531531432e+00,7.523158560403207317e+06
1.537537537537537524e+00,7.406296181725095026e+06
1.543543543543543617e+00,7.291694145983719267e+06
1.549549549549549488e+00,7.179300192288679071e+06
1.555555555555555580e+00,7.069063464030958712e+06
1.561561561561561451e+00,6.960934465923584998e+06
1.567567567567567544e+00,6.854865022515062243e+06
1.573573573573573414e+00,6.750808238119816408e+06
1.579579579579579507e+00,6.648718458111948334e+06
1.585585585585585378e+00,6.548551231531083584e+06
1.591591591591591470e+00,6.450263274950960651e+06
1.597597597597597341e+00,6.353812437563654967e+06
1.603603603603603656e+00,6.259157667434091680e+06
1.609609609609609748e+00,6.166258978881480172e+06
1.615615615615615619e+00,6.075077420945973136e+06
1.621621621621621712e+00,5.985575046900587156e+06
1.627627627627627582e+00,5.897714884770059958e+06
1.633633633633633675e+00,5.811460908819767646e+06
1.639639639639639546e+00,5.726778011979441158e+06
1.645645645645645638e+00,5.643631979167669080e+06
1.651651651651651509e+00,5.561989461484690197e+06
1.657657657657657602e+00,5.481817951242118143e+06
1.663663663663663472e+00,5.403085757799600251e+06
1.669669669669669565e+00,5.325761984179504216e+06
1.675675675675675658e+00,5.249816504431925714e+06
1.681681681681681528e+00,5.175219941723331809e+06
1.687687687687687621e+00,5.101943647123255767e+06
1.693693693693693492e+00,5.029959679064415395e+06
1.699699699699699584e+00,4.959240783452554606e+06
1.705705705705705677e+00,4.889760374403298832e+06
1.711711711711711770e+00,4.821492515584105626e+06
1.717717717717717640e+00,4.754411902140281163e+06
1.723723723723723733e+00,4.688493843184801750e+06
