wavelength_um,intensity_MW_sr-1_m-2_nm-1
1.837837837837837718e+00,9.344275943279885687e+05
1.843843843843843811e+00,9.261614852328376146e+05
1.849849849849849681e+00,9.179800610310189659e+05
1.855855855855855774e+00,9.098824036499533104e+05
1.861861861861861867e+00,9.018676038560667075e+05
1.867867867867867737e+00,8.939347612370105926e+05
1.873873873873873830e+00,8.860829841806002660e+05
1.879879879879879701e+00,8.783113898506375263e+05
1.885885885885885793e+00,8.706191041597784497e+05
1.891891891891891664e+00,8.630052617396010319e+05
1.897897897897897979e+00,8.554690059080328792e+05
1.903903903903903849e+00,8.480094886342742248e+05
1.909909909909909942e+00,8.406258705013589934e+05
1.915915915915915813e+00,8.333173206664882600e+05
1.921921921921922127e+00,8.260830168192558922e+05
1.927927927927927998e+00,8.189221451379071223e+05
1.933933933933933869e+00,8.118339002437224844e+05
1.939939939939939739e+00,8.048174851536621572e+05
1.945945945945946054e+00,7.978721112313661724e+05
1.951951951951951925e+00,7.909969981366184074e+05
1.957957957957957795e+00,7.841913737733714515e+05
1.963963963963963666e+00,7.774544742364329286e+05
1.969969969969969981e+00,7.707855437568947673e+05
1.975975975975975851e+00,7.641838346464055358e+05
1.981981981981981722e+00,7.576486072403551079e+05
1.987987987987988037e+00,7.511791298400640953e+05
1.993993993993994129e+00,7.447746786540499888e+05
2.000000000000000000e+00,7.384345377384409076e+05
2.006006006006005649e+00,7.321579989366075024e+05
2.012012012012012185e+00,7.259443618180896156e+05
2.018018018018017834e+00,7.197929336168660084e+05
2.024024024024023927e+00,7.137030291690431768e+05
2.030030030030029575e+00,7.076739708500121487e+05
2.036036036036036112e+00,7.017050885111342650e+05
2.042042042042042205e+00,6.957957194160103099e+05
2.048048048048047853e+00,6.899452081763765309e+05
2.054054054054054390e+00,6.841529066876897123e+05
2.060060060060060039e+00,6.784181740644347155e+05
2.066066066066066131e+00,6.727403765752043109e+05
2.072072072072071780e+00,6.671188875775982160e+05
2.078078078078078317e+00,6.615530874529726570e+05
2.084084084084083965e+00,6.560423635410886491e+05
2.090090090090090058e+00,6.505861100746849552e+05
2.096096096096095707e+00,6.451837281140217092e+05
2.102102102102102243e+00,6.398346254814189160e+05
2.108108108108107892e+00,6.345382166958306916e+05
2.114114114114113985e+00,6.292939229074711911e+05
2.120120120120120077e+00,6.241011718325377442e+05
2.126126126126126170e+00,6.189593976880474947e+05
2.132132132132131819e+00,6.138680411268119933e+05
2.138138138138137911e+00,6.088265491725844331e+05
2.144144144144144448e+00,6.038343751553901238e+05
2.150150150150150097e+00,5.988909786470738472e+05
2.156156156156156189e+00,5.939958253970750375e+05
2.162162162162161838e+00,5.891483872684544185e+05
2.168168168168168375e+00,5.843481421741949162e+05
2.174174174174174023e+00,5.795945740137866233e+05
2.180180180180180116e+00,5.748871726101149106e+05
2.186186186186186209e+00,5.702254336466724053e+05
2.192192192192192302e+00,5.656088586051020538e+05
2.198198198198197950e+00,5.610369547030872200e+05
2.204204204204204043e+00,5.565092348326058127e+05
2.210210210210210136e+00,5.520252174985551974e+05
2.216216216216216228e+00,5.475844267577622086e+05
2.222222222222221877e+00,5.431863921583881602e+05
2.228228228228227970e+00,5.388306486797367688e+05
2.234234234234234062e+00,5.345167366724769818e+05
2.240240240240240155e+00,5.302442017992910696e+05
2.246246246246246248e+00,5.260125949759471696e+05
2.252252252252252340e+00,5.218214723128146725e+05
2.258258258258258433e+00,5.176703950568216969e+05
2.264264264264264082e+00,5.135589295338617521e+05
2.270270270270270174e+00,5.094866470916590770e+05
2.276276276276276267e+00,5.054531240430941107e+05
2.282282282282282360e+00,5.014579416099966038e+05
2.288288288288288008e+00,4.975006858674042742e+05
2.294294294294294101e+00,4.935809476883008610e+05
2.300300300300300194e+00,4.896983226888284553e+05
2.306306306306306286e+00,4.858524111739827204e+05
2.312312312312311935e+00,4.820428180837867549e+05
2.318318318318318472e+00,4.782691529399541905e+05
2.324324324324324120e+00,4.745310297930384404e+05
2.330330330330330213e+00,4.708280671700679814e+05
2.336336336336336306e+00,4.671598880226755864e+05
2.342342342342342398e+00,4.635261196757140569e+05
2.348348348348348491e+00,4.599263937763677677e+05
2.354354354354354140e+00,4.563603462437507696e+05
2.360360360360360232e+00,4.528276172190015786e+05
2.366366366366366325e+00,4.493278510158664430e+05
2.372372372372372418e+00,4.458606960717766196e+05
2.378378378378378066e+00,4.424258048994134297e+05
2.384384384384384603e+00,4.390228340387651697e+05
2.390390390390390252e+00,4.356514440096737235e+05
2.396396396396396344e+00,4.323112992648658692e+05
2.402402402402401993e+00,4.290020681434743456e+05
2.408408408408408530e+00,4.257234228250420419e+05
2.414414414414414178e+00,4.224750392840095446e+05
2.420420420420420271e+00,4.192565972446834785e+05
2.426426426426426364e+00,4.160677801366847125e+05
2.432432432432432456e+00,4.129082750508739846e+05
2.438438438438438549e+00,4.097777726957517443e+05
2.444444444444444198e+00,4.066759673543298850e+05
2.450450450450450735e+00,4.036025568414750742e+05
2.456456456456456383e+00,4.005572424617179786e+05
2.462462462462462476e+00,3.975397289675269858e+05
2.468468468468468124e+00,3.945497245180444443e+05
2.474474474474474661e+00,3.915869406382819288e+05
2.480480480480480310e+00,3.886510921787716215e+05
2.486486486486486402e+00,3.857418972756675212e+05
2.492492492492492051e+00,3.828590773113009054e+05
2.498498498498498588e+00,3.800023568751788116e+05
2.504504504504504236e+00,3.771714637254287954e+05
2.510510510510510329e+00,3.743661287506791414e+05
2.516516516516516422e+00,3.715860859323799377e+05
2.522522522522522515e+00,3.688310723075557617e+05
2.528528528528528607e+00,3.661008279319867725e+05
2.534534534534534256e+00,3.633950958438182715e+05
2.540540540540540793e+00,3.607136220275902888e+05
2.546546546546546441e+00,3.580561553786886507e+05
2.552552552552552534e+00,3.554224476682093227e+05
2.558558558558558182e+00,3.528122535082360264e+05
2.564564564564564719e+00,3.502253303175254841e+05
2.570570570570570368e+00,3.476614382875973242e+05
2.576576576576576461e+00,3.451203403492237558e+05
2.582582582582582553e+00,3.426018021393167437e+05
2.588588588588588646e+00,3.401055919682108797e+05
2.594594594594594295e+00,3.376314807873308309e+05
2.600600600600600387e+00,3.351792421572497697e+05
2.606606606606606480e+00,3.327486522161260946e+05
2.612612612612612573e+00,3.303394896485212375e+05
2.618618618618618221e+00,3.279515356545901159e+05
2.624624624624624314e+00,3.255845739196433569e+05
2.630630630630630851e+00,3.232383905840764055e+05
2.636636636636636499e+00,3.209127742136621964e+05
2.642642642642642592e+00,3.186075157702029101e+05
2.648648648648648685e+00,3.163224085825381335e+05
2.654654654654654777e+00,3.140572483179057017e+05
2.660660660660660426e+00,3.118118329536484089e+05
2.666666666666666519e+00,3.095859627492695581e+05
2.672672672672672611e+00,3.073794402188259992e+05
2.678678678678678704e+00,3.051920701036605751e+05
2.684684684684684353e+00,3.030236593454674585e+05
2.690690690690690445e+00,3.008740170596875250e+05
2.696696696696696538e+00,2.987429545092310873e+05
2.702702702702702631e+00,2.966302850785226910e+05
2.708708708708708279e+00,2.945358242478652974e+05
2.714714714714714816e+00,2.924593895681201830e+05
2.720720720720720465e+00,2.904008006356996484e+05
2.726726726726726557e+00,2.883598790678673540e+05
